iter	MultiClass
0	1.313482917
1	1.283770465
2	1.262639358
3	1.23995241
4	1.222904101
5	1.209080555
6	1.195707796
7	1.183313706
8	1.173367409
9	1.164489194
10	1.155221579
11	1.147310648
12	1.140615429
13	1.132601324
14	1.1255975
15	1.119078281
16	1.11277858
17	1.107885334
18	1.102214921
19	1.097194849
20	1.09192449
21	1.088451933
22	1.085536067
23	1.081754117
24	1.078654577
25	1.075037635
26	1.072191094
27	1.068868053
28	1.065909349
29	1.060748917
30	1.057995117
31	1.055165546
32	1.052179065
33	1.048824698
34	1.046586404
35	1.044196442
36	1.041249924
37	1.038864247
38	1.036568417
39	1.034048161
40	1.031685398
41	1.029376703
42	1.027058311
43	1.025301562
44	1.023206925
45	1.021364042
46	1.01942959
47	1.017650598
48	1.015593529
49	1.013040947
50	1.009608645
51	1.007913524
52	1.006308508
53	1.003299993
54	1.001257417
55	0.9992692944
56	0.9975981266
57	0.9960567286
58	0.9945976191
59	0.9929450365
60	0.9915091923
61	0.9898648598
62	0.9883967322
63	0.9865638117
64	0.9840592522
65	0.981530512
66	0.9802218666
67	0.9787230931
68	0.9769164634
69	0.9750990588
70	0.9736172471
71	0.9718336817
72	0.9701811043
73	0.96783913
74	0.9662773079
75	0.964689556
76	0.9625734882
77	0.9607316618
78	0.959313667
79	0.9571386499
80	0.9553621588
81	0.9533800536
82	0.9512949577
83	0.9496469628
84	0.9479500296
85	0.9464981744
86	0.9445702597
87	0.9434801788
88	0.9421080663
89	0.940932714
90	0.9399171439
91	0.9386130077
92	0.9372527125
93	0.9359617791
94	0.9345985775
95	0.9332020727
96	0.9318436129
97	0.9305707181
98	0.9295390101
99	0.9281567378
100	0.9265852697
101	0.9255588322
102	0.9242107281
103	0.923010411
104	0.9218658019
105	0.9206068307
106	0.9191147842
107	0.9180319178
108	0.9171283213
109	0.9162808862
110	0.9153616854
111	0.9144094048
112	0.9135411809
113	0.912819201
114	0.9120152054
115	0.9110267945
116	0.9102223527
117	0.909192564
118	0.9065889465
119	0.9054198018
120	0.9040339285
121	0.9031984432
122	0.9023058541
123	0.9013126684
124	0.9005559456
125	0.8997398014
126	0.8983780839
127	0.8976398818
128	0.8966276094
129	0.895802307
130	0.8950937632
131	0.8941676045
132	0.8933508401
133	0.8923112629
134	0.8914915754
